devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
त,ta,ta,389843,2.7211,89030,119610,85122,70702,25306
व,va,va,355259,2.4797,91270,105502,76884,59760,21775
म्,m,m,339486,2.3696,111980,104615,61088,45342,16402
स,sa,sa,285415,1.9922,58160,97226,61477,48167,20305
य,ya,ya,277383,1.9361,96095,73021,53982,38699,15528
म,ma,ma,272370,1.9011,49355,90973,64687,48167,19139
अ,a,a,269327,1.8799,116998,72576,42146,25995,11551
न,na,na,269172,1.8788,54948,85570,62272,47217,19101
प,pa,pa,245142,1.7111,62503,71937,54789,40346,15520
र,ra,ra,233447,1.6295,36474,74334,54213,50715,17650
ति,ti,ti,205258,1.4327,86582,41479,37315,27650,12167
च,ca,ca,178343,1.2448,28949,61662,42780,32494,12428
वि,vi,vi,176297,1.2306,33020,56352,42806,32389,11690
वा,vā,vA,162930,1.1373,44887,51448,35107,21944,9525
क,ka,ka,158069,1.1033,19510,43443,42844,39880,12353
द,da,da,138310,0.9654,37467,35534,31624,24829,8830
प्र,pra,pra,132266,0.9232,32865,41408,30628,19867,7460
त्,t,t,131141,0.9154,38730,33979,25208,24451,8750
मा,mā,mA,130821,0.9131,29155,39325,30442,22464,9409
ह,ha,ha,128833,0.8993,34108,40654,25830,20193,8015
ते,te,te,128099,0.8941,35207,39541,26532,18782,8006
ता,tā,tA,126403,0.8823,27256,40120,29236,21654,8114
ना,nā,nA,126198,0.8809,24786,38901,30539,22975,8973
रा,rā,rA,120064,0.838,18853,49910,24584,19746,6960
नि,ni,ni,114122,0.7966,19369,37993,28136,21000,7604
श,śa,Sa,109526,0.7645,20050,36843,24844,20305,7460
न्,n,n,102459,0.7152,29849,43108,16958,8252,4275
ग,ga,ga,101729,0.7101,9997,34888,27346,20455,9019
या,yā,yA,100813,0.7037,25495,29130,22307,17315,6529
इ,i,i,100374,0.7006,45974,23151,15012,11527,4686
ज,ja,ja,99670,0.6957,21084,35283,20090,16812,6385
का,kā,kA,95837,0.6689,11295,27599,25663,23463,7782
ए,e,e,92426,0.6451,45587,20418,12753,9259,4393
र्,r,r,91264,0.637,32305,32382,15597,7241,3725
भ,bha,Ba,89366,0.6238,18058,28637,20793,15171,6691
आ,ā,A,88212,0.6157,40043,22419,12841,8789,4104
द्,d,d,84735,0.5915,35294,25012,13181,7599,3625
ल,la,la,83214,0.5808,5230,23801,24872,21932,7361
स्य,sya,sya,82104,0.5731,21169,26486,17038,12477,4920
पा,pā,pA,81418,0.5683,16003,28794,16953,13766,5892
उ,u,u,80759,0.5637,33124,23512,12407,7351,4353
सं,saṃ,saM,74797,0.5221,13715,25845,17233,12669,5313
सा,sā,sA,72366,0.5051,14831,21449,17473,13961,4635
पु,pu,pu,69288,0.4836,11451,24550,15290,12341,5639
