Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
vac	Verb	2	P.	uvāca	Third	Sg.	"Perfect Ind."	12986
vac	Verb	2	P.	ukta			"Past Passive Participle"	" 7734"
kṛ	Verb	2	Ā	kṛta			"Past Passive Participle"	" 7599"
as	Verb	2	P.	syāt	Third	Sg.	"Pres. Potential"	" 6273"
bhū	Verb	1	Ā	bhavet	Third	Sg.	"Pres. Potential"	" 6273"
gam	Verb	6	Ā	gata			"Past Passive Participle"	" 6270"
bhū	Verb	1	Ā	bhavati	Third	Sg.	"Present Ind."	" 6105"
kṛ	Verb	2	Ā	kṛtvā			Absolutive	" 4969"
dṛś	Verb	6	P.	dṛṣṭvā			Absolutive	" 4959"
ah	Verb	1	P.	āha	Third	Sg.	"Perfect Ind."	" 4172"
brū	Verb	2	Ā	abravīt	Third	Sg.	"Imperfect ind"	" 4127"
as	Verb	2	P.	asti	Third	Sg.	"Present Ind."	" 4056"
yuj	Verb	6	Ā	yukta			"Past Passive Participle"	" 3786"
śru	Verb	4	P.	śrutvā			Absolutive	" 3611"
sthā	Verb	1	Ā	sthita			"Past Passive Participle"	" 3598"
kṛ	Verb	2	Ā	kuryāt	Third	Sg.	"Pres. Potential"	" 2989"
smṛ	Verb	1	Ā	smṛta			"Past Passive Participle"	" 2966"
han	Verb	6	P.	hata			"Past Passive Participle"	" 2890"
vac	Verb	2	P.	ucyate	Third	Sg.	"Present Passive"	" 2712"
as	Verb	2	P.	asi	Second	Sg.	"Present Ind."	" 2641"
as	Verb	2	P.	sat			"Present Ind."	" 2610"
bhū	Verb	1	Ā	abhavat	Third	Sg.	"Imperfect ind"	" 2459"
jan	Verb	4	P.	jāta			"Past Passive Participle"	" 2426"
prāp	Verb	1	P.	prāpta			"Past Passive Participle"	" 2352"
bhū	Verb	1	Ā	bhavanti	Third	Pl.	"Present Ind."	" 2164"
jan	Verb	4	P.	jāyate	Third	Sg.	"Present Ind."	" 2088"
āgam	Verb	6	P.	āgata			"Past Passive Participle"	" 2054"
vac	Verb	2	P.	uktvā			Absolutive	" 2052"
dṛś	Verb	6	P.	dṛṣṭa			"Past Passive Participle"	" 2012"
kṛ	Verb	2	Ā	kārya			"Future passive particle"	" 1956"
as	Verb	2	P.	asmi	First	Sg.	"Present Ind."	" 1947"
pravac	Verb	2	P.	prokta			"Past Passive Participle"	" 1844"
bhū	Verb	1	Ā	bhūta			"Past Passive Participle"	" 1799"
as	Verb	2	P.	āsīt	Third	Sg.	"Imperfect ind"	" 1798"
bhū	Verb	1	Ā	abhūt	Third	Sg.	"Aorist Ind. Root."	" 1707"
bhū	Verb	1	Ā	bhaviṣyati	Third	Sg.	"Future Ind."	" 1698"
dā	Verb	1	Ā	dattvā			Absolutive	" 1694"
ah	Verb	1	P.	āhuḥ	Third	Pl.	"Perfect Ind."	" 1690"
mṛ	Verb	4	Ā	mṛta			"Past Passive Participle"	" 1664"
śudh	Verb	4	Ā	śuddha			"Past Passive Participle"	" 1656"
gam	Verb	6	Ā	gatvā			Absolutive	" 1655"
as	Verb	2	P.	astu	Third	Sg.	"Pres. Imp."	" 1639"
dā	Verb	1	Ā	dadyāt	Third	Sg.	"Pres. Potential"	" 1621"
dā	Verb	1	Ā	datta			"Past Passive Participle"	" 1471"
kṛ	Verb	2	Ā	karoti	Third	Sg.	"Present Ind."	" 1450"
krudh	Verb	4	Ā	kruddha			"Past Passive Participle"	" 1409"
sidh	Verb	4	Ā	siddha			"Past Passive Participle"	" 1390"
śru	Verb	4	P.	śṛṇu	Second	Sg.	"Pres. Imp."	" 1348"
jñā	Verb	4	Ā	jñeya			"Future passive particle"	" 1330"
hā	Verb	1	P.	hīna			"Past Passive Participle"	" 1293"
ādā	Verb	4	Ā	ādāya			Absolutive	" 1271"
man	Verb	8	P.	mata			"Past Passive Participle"	" 1218"
bandh	Verb	4	P.	baddha			"Past Passive Participle"	" 1200"
arh	Verb	1	Ā	arhasi	Second	Sg.	"Present Ind."	" 1188"
ji	Verb	9	P.	jita			"Past Passive Participle"	" 1176"
prāp	Verb	1	P.	prāpya			Absolutive	" 1170"
yā	Verb	2	Ā	yāti	Third	Sg.	"Present Ind."	" 1161"
pā	Verb	1	Ā	pibet	Third	Sg.	"Pres. Potential"	" 1159"
kṛ	Verb	2	Ā	kartavya			"Future passive particle"	" 1156"
bhū	Verb	1	Ā	bhūtvā			Absolutive	" 1148"
śru	Verb	4	P.	śruta			"Past Passive Participle"	" 1119"
saṁyuj	Verb	7	Ā	saṃyukta			"Past Passive Participle"	" 1118"
muc	Verb	6	Ā	mukta			"Past Passive Participle"	" 1116"
bhū	Verb	1	Ā	babhūva	Third	Sg.	"Perfect Ind."	" 1093"
kathay	Verb	10	Ā	kathita			"Past Passive Participle"	" 1091"
gam	Verb	6	Ā	jagāma	Third	Sg.	"Perfect Ind."	" 1039"
pac	Verb	1	Ā	pacet	Third	Sg.	"Pres. Potential"	" 1032"
nihan	Verb	2	Ā	nihata			"Past Passive Participle"	" 1030"
pat	Verb	1	Ā	patita			"Past Passive Participle"	" 1008"
vid	Verb	6	Ā	veda	Third	Sg.	"Perfect Ind."	"  981"
marday	Verb	10	Ā	mardayet	Third	Sg.	"Pres. Potential"	"  979"
dṛś	Verb	6	P.	dadarśa	Third	Sg.	"Perfect Ind."	"  959"
jñā	Verb	4	Ā	jñātvā			Absolutive	"  952"
kṛ	Verb	2	Ā	kurute	Third	Sg.	"Present Ind."	"  941"
dā	Verb	1	Ā	deya			"Future passive particle"	"  937"
kāray	Verb	10	Ā	kārayet	Third	Sg.	"Pres. Potential"	"  930"
prī	Verb	9	Ā	prīta			"Past Passive Participle"	"  926"
jṛ	Verb	6	P.	jīrṇa			"Past Passive Participle"	"  925"
han	Verb	6	P.	hanti	Third	Sg.	"Present Ind."	"  912"
pṛ	Verb	9	Ā	pūrṇa			"Past Passive Participle"	"  892"
sampad	Verb	4	P.	sampanna			"Past Passive Participle"	"  885"
vac	Verb	2	P.	ūcuḥ	Third	Pl.	"Perfect Ind."	"  881"
āsāday	Verb	10	Ā	āsādya			Absolutive	"  858"
yā	Verb	2	Ā	yayau	Third	Sg.	"Perfect Ind."	"  857"
bhid	Verb	6	P.	bhinna			"Past Passive Participle"	"  855"
snā	Verb	2	Ā	snātvā			Absolutive	"  851"
hṛṣ	Verb	1	P.	hṛṣṭa			"Past Passive Participle"	"  849"
as	Verb	2	P.	syuḥ	Third	Pl.	"Pres. Potential"	"  847"
jan	Verb	4	P.	jāta			"Past Passive Participle"	"  843"
kṛ	Verb	2	Ā	kartum			Infinitive	"  841"
pūjay	Verb	10	Ā	pūjita			"Past Passive Participle"	"  825"
dīp	Verb	4	P.	dīpta			"Past Passive Participle"	"  820"
paś	Verb	4	Ā	paśya	Second	Sg.	"Pres. Imp."	"  810"
dṛś	Verb	6	P.	paśyat			"Present Ind."	"  800"
prāh	Verb	1	P.	prāha	Third	Sg.	"Perfect Ind."	"  792"
han	Verb	6	P.	hatvā			Absolutive	"  788"
iṣ	Verb	1	P.	icchāmi	First	Sg.	"Present Ind."	"  783"
kṛ	Verb	2	Ā	kuru	Second	Sg.	"Pres. Imp."	"  781"
dṛś	Verb	6	P.	dṛśyate	Third	Sg.	"Present Passive"	"  780"
kṣip	Verb	6	Ā	kṣipet	Third	Sg.	"Pres. Potential"	"  777"
kṛ	Verb	2	Ā	cakāra	Third	Sg.	"Perfect Ind."	"  760"
kṛ	Verb	2	Ā	cakre	Third	Sg.	"Perfect Ind."	"  760"
grah	Verb	6	Ā	gṛhītvā			Absolutive	"  754"
sthā	Verb	1	Ā	tiṣṭhati	Third	Sg.	"Present Ind."	"  752"
iṣ	Verb	1	P.	iṣṭa			"Past Passive Participle"	"  751"
āvṛ	Verb	5	Ā	āvṛta			"Past Passive Participle"	"  750"
vṛ	Verb	1	Ā	vṛta			"Past Passive Participle"	"  743"
brū	Verb	2	Ā	brūhi	Second	Sg.	"Pres. Imp."	"  740"
vidhā	Verb	3	Ā	vihita			"Past Passive Participle"	"  740"
gam	Verb	6	Ā	gacchati	Third	Sg.	"Present Ind."	"  731"
pracch	Verb	1	P.	pṛṣṭa			"Past Passive Participle"	"  730"
labh	Verb	1	P.	labdha			"Past Passive Participle"	"  727"
ram	Verb	4	Ā	rata			"Past Passive Participle"	"  724"
dah	Verb	2	P.	dagdha			"Past Passive Participle"	"  723"
vid	Verb	6	Ā	viduḥ	Third	Pl.	"Perfect Ind."	"  719"
bhū	Verb	1	Ā	bhava	Second	Sg.	"Pres. Imp."	"  705"
tap	Verb	4	Ā	tapta			"Past Passive Participle"	"  703"
upe	Verb	2	Ā	upeta			"Past Passive Participle"	"  703"
i	Verb	5	Ā	eti	Third	Sg.	"Present Ind."	"  694"
vid	Verb	6	Ā	vidyāt	Third	Sg.	"Pres. Potential"	"  693"
arh	Verb	1	Ā	arhati	Third	Sg.	"Present Ind."	"  690"
śam	Verb	1	P.	śānta			"Past Passive Participle"	"  687"
kṣi	Verb	9	Ā	kṣīṇa			"Past Passive Participle"	"  664"
varjay	Verb	10	Ā	varjita			"Past Passive Participle"	"  664"
niyam	Verb	1	Ā	niyata			"Past Passive Participle"	"  661"
tyaj	Verb	1	Ā	tyaktvā			Absolutive	"  654"
labh	Verb	1	P.	labhate	Third	Sg.	"Present Ind."	"  652"
yā	Verb	2	Ā	yānti	Third	Pl.	"Present Ind."	"  649"
duṣ	Verb	4	Ā	duṣṭa			"Past Passive Participle"	"  645"
pravṛt	Verb	1	Ā	pravṛtta			"Past Passive Participle"	"  645"
kṣip	Verb	6	Ā	kṣiptvā			Absolutive	"  639"
chid	Verb	1	P.	chinna			"Past Passive Participle"	"  633"
naś	Verb	1	P.	naṣṭa			"Past Passive Participle"	"  633"
dā	Verb	1	Ā	dadau	Third	Sg.	"Perfect Ind."	"  632"
āśri	Verb	1	Ā	āśrita			"Past Passive Participle"	"  632"
gam	Verb	6	Ā	gaccha	Second	Sg.	"Pres. Imp."	"  631"
kṛ	Verb	2	Ā	kurvat			"Present Ind."	"  627"
vijñā	Verb	9	Ā	vijñeya			"Future passive particle"	"  626"
vid	Verb	6	Ā	vidyate	Third	Sg.	"Present Passive"	"  624"
muh	Verb	4	Ā	mūḍha			"Past Passive Participle"	"  622"
pūjay	Verb	10	Ā	pūjayet	Third	Sg.	"Pres. Potential"	"  620"
vṛt	Verb	3	P.	vartate	Third	Sg.	"Present Ind."	"  615"
pratiṣṭhā	Verb	1	Ā	pratiṣṭhita			"Past Passive Participle"	"  615"
