Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
avatṛd	Verb	7	P.	avatṛṇṇa			"Past Passive Participle"	"    1"
ātṛd	Verb	7	P.	ātṛṇṇa			"Past Passive Participle"	"    1"
upāstṛ	Verb	9	P.	upāstīrṇa			"Past Passive Participle"	"    1"
paricar	Verb	1	Ā	paricīrṇa			"Past Passive Participle"	"    1"
parinirvā	Verb	2	Ā	parinirvāṇa			"Past Passive Participle"	"    1"
pariruj	Verb	6	P.	parirugṇa			"Past Passive Participle"	"    1"
parisaṁstṛ	Verb	9	P.	parisaṃstīrṇa			"Past Passive Participle"	"    1"
pratikṛ	Verb	6	P.	pratikīrṇa			"Past Passive Participle"	"    1"
pratṛ	Verb	8	Ā	pratūrṇa			"Past Passive Participle"	"    1"
pratyudīr	Verb	2	Ā	pratyudīrṇa			"Past Passive Participle"	"    1"
pradṛ	Verb	2	P.	pradīrṇa			"Past Passive Participle"	"    1"
prap￞	Verb	9	P.	prapūrṇa			"Past Passive Participle"	"    1"
pravistṛ	Verb	9	P.	pravistīrṇa			"Past Passive Participle"	"    1"
vikṣi	Verb	9	P.	vikṣīṇa			"Past Passive Participle"	"    1"
vighūrṇ	Verb	1	Ā	vighūrṇa			"Past Passive Participle"	"    1"
saṁśṛ	Verb	9	Ā	saṃśīrṇa			"Past Passive Participle"	"    1"
vyavadṛ	Verb	4	P.	vyavadīrṇa			"Past Passive Participle"	"    1"
samavastṛ	Verb	5	P.	samavastīrṇa			"Past Passive Participle"	"    1"
samudgṛ	Verb	9	P.	samudgīrṇa			"Past Passive Participle"	"    1"
abhavastṛ	Verb	9	P.	abhyavastīrṇa			"Past Passive Participle"	"    1"
pratyācar	Verb	1	Ā	pratyācīrṇa			"Past Passive Participle"	"    1"
praviśṛ	Verb	9	Ā	praviśīrṇa			"Past Passive Participle"	"    1"
samavajṛ	Verb	4	P.	samavajīrṇa			"Past Passive Participle"	"    1"
vinistṛ	Verb	9	P.	vinistīrṇa			"Past Passive Participle"	"    1"
paricarv	Verb	1	Ā	paricūrṇa			"Past Passive Participle"	"    1"
praviṣad	Verb	2	P.	praviṣaṇṇa			"Past Passive Participle"	"    1"
abhisaṁkṛ	Verb	6	Ā	abhisaṃkīrṇa			"Past Passive Participle"	"    1"
samavatṛ	Verb	4	P.	samavatīrṇa			"Past Passive Participle"	"    1"
samabhyudīr	Verb	2	Ā	samabhyudīrṇa			"Past Passive Participle"	"    1"
avacarv	Verb	1	Ā	avacūrṇa			"Past Passive Participle"	"    1"
nirjṛ	Verb	4	Ā	nirjīrṇa			"Past Passive Participle"	"    1"
anuviṣad	Verb	2	P.	anuviṣaṇṇa			"Past Passive Participle"	"    1"
upavistṛ	Verb	9	P.	upavistīrṇa			"Past Passive Participle"	"    1"
nirhā	Verb	3	Ā	nirhāṇa			"Past Passive Participle"	"    1"
anuprakṝ	Verb	6	Ā	anuprakīrṇa			"Past Passive Participle"	"    1"
uddṛ	Verb	4	P.	uddīrṇa			"Past Passive Participle"	"    1"
mṛ	Verb	9	P.	mūrṇa			"Past Passive Participle"	"    1"
avapṛc	Verb	7	Ā	avapṛgṇa			"Past Passive Participle"	"    1"
vinirgṛ	Verb	9	Ā	vinirgīrṇa			"Past Passive Participle"	"    1"
abhiprakṛ	Verb	6	Ā	abhiprakīrṇa			"Past Passive Participle"	"    1"
saṁpratipṛ	Verb	9	Ā	saṃpratipūrṇa			"Past Passive Participle"	"    1"
